,state_district,post,phase2,pct_rural,pct_urban,count,hw70_mean,hw71_mean,hw72_mean,stunting_pct,underweight_pct,wasting_pct,scst,state,district,matched_census_district,merge_state,merge_district,Literate_Prop,SCST_Prop,Population
1821,telangana - nizamabad,0,0,93.67816091954025,6.321839080459771,51,-143.94117647058823,-168.11764705882354,-121.27450980392156,35.294117647058826,39.21568627450981,23.52941176470588,1,telangana,nizamabad,nizamabad,telangana,nizamabad,,,
1822,telangana - nizamabad,1,0,78.57142857142857,21.428571428571427,113,-134.91150442477877,-172.2212389380531,-135.43362831858408,29.20353982300885,44.24778761061947,30.08849557522124,0,telangana,nizamabad,nizamabad,telangana,nizamabad,,,
1823,telangana - nizamabad,1,0,78.57142857142857,21.428571428571427,55,-164.94545454545454,-175.29090909090908,-119.65454545454546,43.63636363636363,43.63636363636363,34.54545454545455,1,telangana,nizamabad,nizamabad,telangana,nizamabad,,,
1824,tripura - dhalai,0,0,86.0,14.000000000000002,56,-84.60714285714286,-84.17857142857143,-45.33928571428572,19.642857142857142,12.5,7.142857142857142,0,tripura,dhalai,dhalai,tripura,dhalai,0.730288448827433,0.7199217407397616,378230.0
1825,tripura - dhalai,0,0,86.0,14.000000000000002,144,-100.99305555555556,-135.42361111111111,-111.90277777777776,32.63888888888889,29.166666666666668,27.08333333333333,1,tripura,dhalai,dhalai,tripura,dhalai,0.730288448827433,0.7199217407397616,378230.0
1826,tripura - dhalai,1,0,90.41095890410958,9.58904109589041,39,-165.71794871794873,-138.30769230769232,-63.84615384615385,35.8974358974359,28.205128205128204,20.51282051282051,0,tripura,dhalai,dhalai,tripura,dhalai,0.730288448827433,0.7199217407397616,378230.0
1827,tripura - dhalai,1,0,90.41095890410958,9.58904109589041,180,-182.29444444444445,-122.17222222222222,-19.81111111111111,48.888888888888886,27.22222222222222,15.555555555555555,1,tripura,dhalai,dhalai,tripura,dhalai,0.730288448827433,0.7199217407397616,378230.0
1828,tripura - north tripura,0,0,82.29665071770334,17.703349282296653,91,-115.57142857142856,-127.73626373626374,-86.93406593406593,26.373626373626376,28.57142857142857,13.186813186813188,0,tripura,north tripura,north tripura,tripura,north tripura,0.7499160598720075,0.42423124532565165,693947.0
1829,tripura - north tripura,0,0,82.29665071770334,17.703349282296653,118,-97.07627118644068,-132.864406779661,-109.4322033898305,23.728813559322035,22.88135593220339,15.254237288135592,1,tripura,north tripura,north tripura,tripura,north tripura,0.7499160598720075,0.42423124532565165,693947.0
1830,tripura - north tripura,1,0,82.16216216216216,17.83783783783784,89,-66.31460674157303,-90.50561797752808,-64.71910112359551,25.842696629213485,13.48314606741573,22.47191011235955,0,tripura,north tripura,north tripura,tripura,north tripura,0.7499160598720075,0.42423124532565165,693947.0
1831,tripura - north tripura,1,0,82.16216216216216,17.83783783783784,96,-63.85416666666666,-137.17708333333334,-144.15625,27.08333333333333,28.125,39.58333333333333,1,tripura,north tripura,north tripura,tripura,north tripura,0.7499160598720075,0.42423124532565165,693947.0
1832,tripura - south tripura,0,0,87.75510204081633,12.244897959183673,51,-93.68627450980392,-119.07843137254902,-95.49019607843135,13.725490196078432,23.52941176470588,17.647058823529413,0,tripura,south tripura,south tripura,tripura,south tripura,0.7383667370242728,0.5536557606669399,876001.0
1833,tripura - south tripura,0,0,87.75510204081633,12.244897959183673,96,-96.86458333333331,-125.15625,-99.21875,29.166666666666668,26.041666666666668,21.875,1,tripura,south tripura,south tripura,tripura,south tripura,0.7383667370242728,0.5536557606669399,876001.0
1834,tripura - south tripura,1,0,93.38235294117648,6.61764705882353,36,-92.66666666666669,-95.52777777777776,-63.66666666666666,13.88888888888889,13.88888888888889,19.444444444444446,0,tripura,south tripura,south tripura,tripura,south tripura,0.7383667370242728,0.5536557606669399,876001.0
1835,tripura - south tripura,1,0,93.38235294117648,6.61764705882353,100,-142.16,-125.14,-65.1,27.0,25.0,16.0,1,tripura,south tripura,south tripura,tripura,south tripura,0.7383667370242728,0.5536557606669399,876001.0
1836,tripura - west tripura,0,0,52.083333333333336,47.91666666666667,121,-90.62809917355372,-97.04132231404958,-58.04132231404959,17.355371900826448,18.181818181818183,13.223140495867767,0,tripura,west tripura,west tripura,tripura,west tripura,0.7888527755355822,0.4462076826217638,1725739.0
1837,tripura - west tripura,0,0,52.083333333333336,47.91666666666667,167,-88.12574850299401,-104.16766467065868,-74.77844311377245,20.35928143712575,23.35329341317365,16.16766467065868,1,tripura,west tripura,west tripura,tripura,west tripura,0.7888527755355822,0.4462076826217638,1725739.0
1838,tripura - west tripura,1,0,35.714285714285715,64.28571428571429,56,-98.625,-76.625,-30.303571428571427,19.642857142857142,12.5,12.5,0,tripura,west tripura,west tripura,tripura,west tripura,0.7888527755355822,0.4462076826217638,1725739.0
1839,tripura - west tripura,1,0,35.714285714285715,64.28571428571429,70,-149.11428571428573,-90.57142857142856,1.457142857142857,37.142857142857146,21.428571428571427,8.571428571428571,1,tripura,west tripura,west tripura,tripura,west tripura,0.7888527755355822,0.4462076826217638,1725739.0
1840,uttar pradesh - agra,0,0,64.5760743321719,35.4239256678281,603,-170.33333333333334,-152.6865671641791,-78.80265339966833,43.946932006633496,33.66500829187397,12.935323383084576,0,uttar pradesh,agra,agra,uttar pradesh,agra,0.6066153299189803,0.22598458358689028,4418797.0
1841,uttar pradesh - agra,0,0,64.5760743321719,35.4239256678281,258,-182.6201550387597,-172.0503875968992,-95.25581395348836,48.06201550387597,38.75968992248063,17.829457364341085,1,uttar pradesh,agra,agra,uttar pradesh,agra,0.6066153299189803,0.22598458358689028,4418797.0
1842,uttar pradesh - agra,1,0,65.60364464692483,34.39635535307517,277,-119.37545126353793,-114.98194945848375,-64.56317689530685,31.768953068592054,22.743682310469318,16.967509025270758,0,uttar pradesh,agra,agra,uttar pradesh,agra,0.6066153299189803,0.22598458358689028,4418797.0
1843,uttar pradesh - agra,1,0,65.60364464692483,34.39635535307517,162,-184.9753086419753,-145.96913580246914,-57.61111111111112,46.2962962962963,32.71604938271605,14.19753086419753,1,uttar pradesh,agra,agra,uttar pradesh,agra,0.6066153299189803,0.22598458358689028,4418797.0
1844,uttar pradesh - aligarh,0,1,66.34078212290503,33.659217877094974,499,-172.6933867735471,-158.4569138276553,-85.70541082164328,42.48496993987976,34.2685370741483,15.430861723446892,0,uttar pradesh,aligarh,aligarh,uttar pradesh,aligarh,0.5695781772394322,0.2057446482460412,3673889.0
1845,uttar pradesh - aligarh,0,1,66.34078212290503,33.659217877094974,217,-217.16129032258064,-187.08755760368663,-88.6589861751152,56.68202764976959,45.622119815668206,13.82488479262673,1,uttar pradesh,aligarh,aligarh,uttar pradesh,aligarh,0.5695781772394322,0.2057446482460412,3673889.0
1846,uttar pradesh - aligarh,1,1,86.76923076923076,13.230769230769232,225,-135.65333333333334,-126.02222222222224,-72.2088888888889,28.444444444444443,20.88888888888889,8.88888888888889,0,uttar pradesh,aligarh,aligarh,uttar pradesh,aligarh,0.5695781772394322,0.2057446482460412,3673889.0
1847,uttar pradesh - aligarh,1,1,86.76923076923076,13.230769230769232,100,-180.8,-157.11,-76.28,48.0,30.0,12.0,1,uttar pradesh,aligarh,aligarh,uttar pradesh,aligarh,0.5695781772394322,0.2057446482460412,3673889.0
1848,uttar pradesh - allahabad,0,1,84.46866485013625,15.53133514986376,261,-156.99233716475095,-167.07662835249042,-112.48659003831418,42.911877394636015,41.37931034482759,20.689655172413797,0,uttar pradesh,allahabad,allahabad,uttar pradesh,allahabad,0.6156342437035123,0.22131667201566038,5954391.0
1849,uttar pradesh - allahabad,0,1,84.46866485013625,15.53133514986376,106,-205.17924528301887,-202.3018867924528,-118.4622641509434,55.66037735849056,54.71698113207547,19.81132075471698,1,uttar pradesh,allahabad,allahabad,uttar pradesh,allahabad,0.6156342437035123,0.22131667201566038,5954391.0
1850,uttar pradesh - allahabad,1,1,85.66978193146417,14.330218068535824,214,-121.85981308411216,-131.01401869158877,-89.08411214953271,30.8411214953271,25.70093457943925,12.149532710280374,0,uttar pradesh,allahabad,allahabad,uttar pradesh,allahabad,0.6156342437035123,0.22131667201566038,5954391.0
1851,uttar pradesh - allahabad,1,1,85.66978193146417,14.330218068535824,107,-179.92523364485982,-185.6728971962617,-114.94392523364486,50.467289719626166,46.728971962616825,19.626168224299064,1,uttar pradesh,allahabad,allahabad,uttar pradesh,allahabad,0.6156342437035123,0.22131667201566038,5954391.0
1852,uttar pradesh - ambedkar nagar,0,1,91.73789173789174,8.262108262108262,222,-150.7027027027027,-162.9189189189189,-113.11711711711712,34.68468468468468,36.03603603603604,20.72072072072072,0,uttar pradesh,ambedkar nagar,ambedkar nagar,uttar pradesh,ambedkar nagar,0.6201036078415673,0.24683012717858382,2397888.0
1853,uttar pradesh - ambedkar nagar,0,1,91.73789173789174,8.262108262108262,129,-203.13178294573643,-201.96124031007756,-124.16279069767442,56.58914728682171,48.06201550387597,23.25581395348837,1,uttar pradesh,ambedkar nagar,ambedkar nagar,uttar pradesh,ambedkar nagar,0.6201036078415673,0.24683012717858382,2397888.0
1854,uttar pradesh - ambedkar nagar,1,1,97.0479704797048,2.952029520295203,152,-114.19736842105264,-118.375,-80.40131578947368,25.0,24.34210526315789,15.789473684210526,0,uttar pradesh,ambedkar nagar,ambedkar nagar,uttar pradesh,ambedkar nagar,0.6201036078415673,0.24683012717858382,2397888.0
1855,uttar pradesh - ambedkar nagar,1,1,97.0479704797048,2.952029520295203,119,-156.49579831932772,-162.5546218487395,-107.68067226890756,39.49579831932773,36.134453781512605,18.487394957983195,1,uttar pradesh,ambedkar nagar,ambedkar nagar,uttar pradesh,ambedkar nagar,0.6201036078415673,0.24683012717858382,2397888.0
1856,uttar pradesh - auraiya,0,1,85.8044164037855,14.195583596214512,207,-135.05314009661836,-170.0144927536232,-130.54106280193236,31.88405797101449,39.61352657004831,28.019323671497588,0,uttar pradesh,auraiya,auraiya,uttar pradesh,auraiya,0.6747413096346984,0.28398638681594296,1379545.0
1857,uttar pradesh - auraiya,0,1,85.8044164037855,14.195583596214512,110,-242.42727272727276,-223.52727272727276,-124.2090909090909,65.45454545454545,56.36363636363636,23.63636363636364,1,uttar pradesh,auraiya,auraiya,uttar pradesh,auraiya,0.6747413096346984,0.28398638681594296,1379545.0
1858,uttar pradesh - auraiya,1,1,84.74114441416893,15.258855585831062,230,-161.2,-125.11304347826086,-48.40434782608696,37.391304347826086,26.956521739130437,19.130434782608692,0,uttar pradesh,auraiya,auraiya,uttar pradesh,auraiya,0.6747413096346984,0.28398638681594296,1379545.0
